"","x08_1","x08_2","x08_3","x08_4","x09_1","x09_2","x09_3","x09_4","x09_5","x14_dm1","x14_dm2","x14_dm3","x14_dm4","x14_dm5","x14_dm6","x16_dm2","x16_dm3","x16_dm4","x16_dm5","x16_dm6","x17_dm1","x17_dm2","x17_dm3","x17_dm4","x17_dm5","x17_dm6","x18_dm1","x18_dm2","x18_dm3","x18_dm4","x18_dm5","x18_dm6","x22_dm1","x22_dm2","x22_dm3","x22_dm4","x22_dm5","x22_dm6","x23_dm1","x23_dm2","x23_dm3","x23_dm4","x23_dm5","x23_dm6","x25_dm1","x25_dm2","x25_dm3","x25_dm4","x25_dm5","x25_dm6","x27_dm1","x27_dm2","x27_dm3","x27_dm4","x27_dm5","x27_dm6","x28_1","x28_2"
"x14_dm2",0.0114603880915739,-0.00354187274980131,0.0293713278124306,0.00773804411084276,0.00300652329706735,0.0172750465709676,0.041800646948482,0.0149064745828089,0.00773804411084276,0.592424675993881,1,0.62096687211906,0.600000227515896,0.521141650412305,0.506587827494003,0.142816408322128,-0.0590082688472537,0.017784268671831,-0.032207200393815,-0.032207200393815,0.0256439655956246,-0.100935854545885,-0.0329707748043283,-0.0143673826725258,0.00016596136092622,0.0108453209663569,0.280630183241623,0.564032592057025,0.343591029308646,0.377414799524147,0.336076467367626,0.341608968401631,-0.00721286220952445,0.00830571631556713,-0.000471205380995398,0.00608069868136922,-0.00257539644281824,0.00145601600807953,-0.00145087012124914,0.00084462094998547,-0.00405747915334144,-0.00345439015622562,-0.00413302037480338,-0.00310198098623824,0.320599152241983,0.490869040938695,0.338388349806214,0.368140699676291,0.339530059745294,0.332718646216572,0.430411564844583,0.776783325330653,0.460068247976121,0.489779266582941,0.4273414522053,0.414686694713319,0.336749127002241,0.336749127002241
"x14_dm3",0.0147449431456928,-0.00512894367322628,0.0246052936559395,0.0108770040702322,-0.000785542472741529,0.0168953155843296,0.0350910571546165,0.0197172492506866,0.0108770040702322,0.582119345878636,0.62096687211906,1,0.645810290489992,0.614670757086873,0.537090581794484,0.0733693747004275,0.0749597883883722,-0.0762699259631421,-0.0198881604488975,-0.0198881604488975,0.0392928877419946,0.034941361944292,-0.0904911211161639,-0.0259030304999098,-0.00431145409722507,0.0109816293986721,0.321489128497694,0.304781264671595,0.581892055320133,0.369471392104534,0.393602621062794,0.355928569064005,-0.00153376493738187,-0.00127005455420801,0.0094687486256963,0.00591909866865758,0.000367925751627648,-0.00116140702979627,-0.000776256187929338,-0.00195220636357096,-0.0015636638459984,-0.00290197793108544,-0.00346712664314698,-0.00273956638101175,0.352155083911232,0.301008824755784,0.497087179230854,0.370326910227549,0.390072114633227,0.357730951686691,0.466886965903335,0.414935294863114,0.775009675666908,0.499752994943714,0.511183029356467,0.445855031059882,0.286212589319117,0.286212589319117
"x14_dm4",0.0143433802557752,-0.00570854358081017,0.0185634322928043,0.0261903889107661,-0.00680168769159362,0.0167027580682648,0.028013388006474,0.0184212655738399,0.0261903889107661,0.498898291591377,0.600000227515896,0.645810290489992,1,0.654821737537016,0.621861744879658,0.0882015133049811,0.0173207493614991,0.056450374386663,-0.105688714355746,-0.105688714355746,0.0457842966277062,0.043435782530227,0.0326359832465702,-0.0835078118078801,-0.0161619569633679,0.0100386651145975,0.265353502978148,0.336988658731411,0.332062150168458,0.592926044629927,0.378183626151074,0.405573388682345,-0.00616079063618053,0.000920983242223611,-0.00323217933165198,0.00703630063766724,0.000591320693171296,0.00132661517531359,-0.00134205718930905,-0.00152784489886855,-0.00343249547298622,-0.000299608176246844,-0.0032332414551731,-0.00228735923786668,0.302448948129195,0.323675994123674,0.320104978928391,0.507100424157679,0.379708214957515,0.394858380914129,0.391939337267033,0.446126867977184,0.438671528830556,0.78230066921877,0.506005656559064,0.51248339450678,0.277590651089849,0.277590651089849
"x14_dm5",0.0139278073729832,-0.00664599489482247,0.0133401743673672,0.0423886566499326,-0.00922362494915427,0.0167315407086635,0.0139131438467263,0.0179624526051448,0.0423886566499326,0.486593694115393,0.521141650412305,0.614670757086873,0.654821737537016,1,0.648758952924867,0.0699744383880761,0.0336733430265804,-0.0099348535895492,0.0203317526986533,0.0203317526986533,0.0470194748552258,0.0677755191732179,0.0547202147776946,0.0419129345875182,-0.0771728468633973,-0.00343856814494913,0.272198879330808,0.280582015062988,0.355369417866843,0.348391142872728,0.602720505101294,0.383493462105568,-0.00136102792774644,0.000441448340693226,-0.00357846833996952,-0.00116567303347045,0.00452593586904707,-0.00032262199532809,-0.00112357295712583,-0.00198948832481777,-0.00322196743124563,-0.0026521283762223,-0.00183144078847018,-0.00219802767148702,0.308015768637506,0.282382408175136,0.340210964102667,0.33818140865931,0.527289558116993,0.387891182640348,0.394903034270643,0.376260408507979,0.46096017006835,0.459001386383697,0.790363293983292,0.504869123375388,0.254400568936328,0.254400568936328
"x14_dm6",0.0124662444475799,-0.00928572584461033,0.00741843869503756,0.05742361357748,-0.00959819682700559,0.0147866879040016,-0.00135247117483955,0.0177220556182265,0.05742361357748,0.464433705000731,0.506587827494003,0.537090581794484,0.621861744879658,0.648758952924867,1,0.0699596056825282,0.0170511923393128,0.0120761719672663,-0.0404346882735518,-0.0404346882735518,0.0577955256133863,0.0677335773633128,0.0739595855174798,0.0630530526251679,0.0515121471673088,-0.0640024466227501,0.24949908492056,0.280321472098685,0.302658792239456,0.367686559897418,0.354481137127129,0.608258361849274,0.00153162365868922,-0.00309194655253176,-0.00371213306667426,-0.00298376667187909,-0.00469851481034491,0.00477062312396447,-0.00136088789328425,-0.00188300288915001,-0.00356573005539866,-0.00258203339078423,-0.00314433339854831,-0.000878984750163119,0.292846241797562,0.284491856312827,0.305310584880635,0.355410848838506,0.355856423341081,0.538517699878236,0.36684841499606,0.375132516746487,0.392902331332951,0.474645873363076,0.464398660717346,0.793562553469978,0.258036032054764,0.258036032054764
"x16_dm2",0.000772098105612188,0.0057278989565971,-0.00032355409191182,0.00239944361922893,-0.00225740323258767,0.00260595053572978,0.00139290216486597,-0.0109980649010155,0.00239944361922893,0.0079675873587836,0.142816408322128,0.0733693747004275,0.0882015133049811,0.0699744383880761,0.0699596056825282,1,0.132746611525662,0.19742015122209,0.15862723391061,0.15862723391061,0.0335749951945273,0.195441223978456,0.127485988437234,0.103185215323289,0.0742245164735007,0.0580766593768272,0.0224890174012241,0.131141194933663,0.0479939078014268,0.0746787586234277,0.0590419950143196,0.0617108650454904,-0.0038861036336775,0.00395073995409856,0.000540475965968795,-0.00386775160833343,0.00355568727992597,0.0047875361662792,-0.00149904820089221,0.00530530257263238,0.00435273361171242,0.00148011327168277,0.00195590760369225,0.00424897718108675,0.115441430114302,0.165336873123054,0.0717033385206161,0.0859765180944753,0.0724616406456529,0.0767755410070793,0.230794485778179,0.207532143513245,0.141941989149826,0.164578278904043,0.139447262287474,0.139043333766442,0.147893294065764,0.147893294065764
"x16_dm3",-0.00278058650679075,0.0103951126997198,0.00542092207015195,-0.0129807589012043,-0.00520295645224129,0.000643144201280606,0.0067181606157693,-0.00688753692894181,-0.0129807589012043,0.0462631656060922,-0.0590082688472537,0.0749597883883722,0.0173207493614991,0.0336733430265804,0.0170511923393128,0.132746611525662,1,0.187619407785236,0.207786572703187,0.207786572703187,-0.0163823637778701,-0.011211833330767,0.141572627145391,0.083113365993405,0.0580963259764339,0.0345148272219956,0.0754502400979044,0.0201753721992943,0.0974198303722668,0.0224996299081906,0.0495259517091889,0.0320815900088161,0.00339331491299762,0.00280450099161596,0.000548776436520949,-0.00763176513264976,0.00518452489384578,0.00261219468746067,0.00467256532414183,0.00331684309020972,0.00200260516043978,0.000313273993028495,0.00492534056881986,0.00405447316407904,0.0672751242412846,0.0251343439731868,0.155660098661362,0.0618635564433097,0.0742048448608561,0.0611537099003304,0.161626086747437,0.145368382594481,0.198377855205532,0.128450792238726,0.142841566563098,0.123140035971434,0.0490624039467757,0.0490624039467757
"x16_dm4",-0.00354726943965697,0.00387044619082315,0.00192488181126866,-0.00474959896342644,-0.00141050457401932,0.0020753002198193,0.010019751420595,-0.0120222618840094,-0.00474959896342644,0.0127586174717909,0.017784268671831,-0.0762699259631421,0.056450374386663,-0.0099348535895492,0.0120761719672663,0.19742015122209,0.187619407785236,1,0.193859900828439,0.193859900828439,-0.0163487336715475,-0.0239985689709098,-0.0144650624408987,0.123679477044422,0.0676367199936015,0.0428322618827437,0.0299072987341941,0.0624136723129201,-0.0022191807380521,0.0839631640265993,0.0101322187006172,0.0343073489251158,0.00194608317603657,0.00268251623236976,0.00235493494122151,-0.00445294177873821,-0.00504556030349481,0.00419958579366419,0.00461128863595182,0.00401588086163533,0.00386740468624556,0.000602597871112427,0.00109784466650556,0.00374499919796292,0.00915260081886379,0.0536258059821579,-0.00796495733281815,0.104805190243557,0.0250625615935388,0.0389008537849373,0.0835645558487904,0.138475440041508,0.110421072669252,0.149569377269399,0.0826749509302856,0.100880070719221,0.0588170807192732,0.0588170807192732
"x16_dm5",-0.00107555854727801,-0.000827665412846455,0.00406345744857012,-0.0169266032198322,0.00380911249883104,0.00404382948468306,0.015482672516059,-0.00891095588942209,-0.0169266032198322,0.00260810959527179,-0.032207200393815,-0.0198881604488975,-0.105688714355746,0.0203317526986533,-0.0404346882735518,0.15862723391061,0.207786572703187,0.193859900828439,1,1,-0.0235674259844475,-0.0437082739206545,-0.0549115373292128,-0.0499242817561438,0.102754260647294,0.0462345230215385,0.0258510897553783,0.0102821704835405,0.0332339640255173,-0.0210586701637419,0.0677407675368379,-0.004523501782111,0.00513820150663282,-0.000391830941722729,-0.00182172843861237,0.00175703602427178,-0.00328249605272775,-0.00158094220613088,0.00459232422591292,0.00427898226799359,0.00488192254272047,0.00521831135700299,0.00442371591026046,0.00342549000013189,0.00955128286978228,0.00707889907230787,0.0213564367375515,-0.0357359893084922,0.0829562837950554,0.0148345826490827,0.0809937257263443,0.0757078403827232,0.106096162171276,0.0787402297609818,0.117278105297358,0.0650710106512902,0.0112835191237907,0.0112835191237907
"x16_dm6",-0.00107555854727801,-0.000827665412846455,0.00406345744857012,-0.0169266032198322,0.00380911249883104,0.00404382948468306,0.015482672516059,-0.00891095588942209,-0.0169266032198322,0.00260810959527179,-0.032207200393815,-0.0198881604488975,-0.105688714355746,0.0203317526986533,-0.0404346882735518,0.15862723391061,0.207786572703187,0.193859900828439,1,1,-0.0235674259844475,-0.0437082739206545,-0.0549115373292128,-0.0499242817561438,0.102754260647294,0.0462345230215385,0.0258510897553783,0.0102821704835405,0.0332339640255173,-0.0210586701637419,0.0677407675368379,-0.004523501782111,0.00513820150663282,-0.000391830941722729,-0.00182172843861237,0.00175703602427178,-0.00328249605272775,-0.00158094220613088,0.00459232422591292,0.00427898226799359,0.00488192254272047,0.00521831135700299,0.00442371591026046,0.00342549000013189,0.00955128286978228,0.00707889907230787,0.0213564367375515,-0.0357359893084922,0.0829562837950554,0.0148345826490827,0.0809937257263443,0.0757078403827232,0.106096162171276,0.0787402297609818,0.117278105297358,0.0650710106512902,0.0112835191237907,0.0112835191237907
